rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
112,frame_0122.jpg,48.8,0.5064,0.5928,0.3,0.6,7,3,False,False
113,frame_0088.jpg,35.2,0.5061,0.6562,0.3,0.44,8,3,False,False
114,frame_0215.jpg,86.0,0.5054,0.6388,0.3,0.48,6,3,False,False
115,frame_0104.jpg,41.6,0.5037,0.7194,0.4,0.12,9,4,False,False
116,frame_0321.jpg,128.4,0.502,0.744,0.3,0.2,10,3,False,False
117,frame_0013.jpg,5.2,0.5012,0.4224,0.3,1.0,4,3,False,False
118,frame_0129.jpg,51.6,0.5011,0.5302,0.2,0.88,8,2,False,False
119,frame_0167.jpg,66.8,0.5007,0.5813,0.3,0.6,7,3,False,False
120,frame_0005.jpg,2.0,0.5002,0.4804,0.2,1.0,8,2,False,False
121,frame_0332.jpg,132.8,0.4984,0.8008,0.3,0.04,10,3,False,False
122,frame_0170.jpg,68.0,0.4983,0.5646,0.4,0.48,8,4,False,False
123,frame_0274.jpg,109.6,0.498,0.752,0.3,0.16,7,3,False,False
124,frame_0391.jpg,156.4,0.497,0.6779,0.5,0.04,8,5,False,False
125,frame_0025.jpg,10.0,0.4967,0.4135,0.3,1.0,5,3,False,False
126,frame_0210.jpg,84.0,0.4965,0.601,0.2,0.68,3,2,False,False
127,frame_0178.jpg,71.2,0.4951,0.8062,0.2,0.16,8,2,False,False
128,frame_0396.jpg,158.4,0.4949,0.7458,0.3,0.16,11,3,False,False
129,frame_0325.jpg,130.0,0.4947,0.7934,0.3,0.04,7,3,False,False
130,frame_0399.jpg,159.6,0.4935,0.6351,0.4,0.28,7,4,False,False
131,frame_0308.jpg,123.2,0.4916,0.6192,0.5,0.16,10,5,False,False
132,frame_0171.jpg,68.4,0.4914,0.6869,0.2,0.44,5,2,False,False
133,frame_0012.jpg,4.8,0.4909,0.4619,0.2,1.0,4,2,False,False
134,frame_0275.jpg,110.0,0.4909,0.6618,0.4,0.2,7,4,False,False
135,frame_0375.jpg,150.0,0.4909,0.7218,0.3,0.2,9,3,False,False
136,frame_0285.jpg,114.0,0.4883,0.6166,0.2,0.6,7,2,False,False
137,frame_0119.jpg,47.6,0.4882,0.4844,0.5,0.48,10,5,False,False
138,frame_0090.jpg,36.0,0.486,0.5881,0.4,0.36,9,4,False,False
139,frame_0387.jpg,154.8,0.4856,0.7111,0.3,0.2,9,3,False,False
140,frame_0169.jpg,67.6,0.4851,0.5822,0.3,0.52,9,3,False,False
141,frame_0372.jpg,148.8,0.485,0.682,0.4,0.12,11,4,False,False
142,frame_0180.jpg,72.0,0.4844,0.5767,0.6,0.08,8,6,False,False
143,frame_0280.jpg,112.0,0.4838,0.5676,0.4,0.4,9,4,False,False
144,frame_0306.jpg,122.4,0.4829,0.6899,0.3,0.24,8,3,False,False
145,frame_0096.jpg,38.4,0.4819,0.6157,0.5,0.12,8,5,False,False
146,frame_0132.jpg,52.8,0.4817,0.4434,0.2,1.0,8,2,False,False
147,frame_0100.jpg,40.0,0.4816,0.6472,0.5,0.04,8,5,False,False
148,frame_0298.jpg,119.2,0.481,0.5581,0.3,0.56,7,3,False,False
149,frame_0027.jpg,10.8,0.4791,0.4982,0.1,1.0,7,1,False,False
150,frame_0114.jpg,45.6,0.4787,0.6654,0.3,0.28,6,3,False,False
151,frame_0393.jpg,157.2,0.4778,0.6995,0.4,0.04,8,4,False,False
152,frame_0084.jpg,33.6,0.476,0.4721,0.4,0.6,8,4,False,False
153,frame_0020.jpg,8.0,0.4758,0.4316,0.2,1.0,5,2,False,False
154,frame_0103.jpg,41.2,0.4753,0.5866,0.5,0.16,7,5,False,False
155,frame_0397.jpg,158.8,0.4752,0.8104,0.1,0.2,10,1,False,False
156,frame_0216.jpg,86.4,0.4742,0.6524,0.2,0.44,6,2,False,False
157,frame_0014.jpg,5.6,0.4737,0.4274,0.2,1.0,6,2,False,False
158,frame_0229.jpg,91.6,0.4736,0.6751,0.4,0.08,9,4,False,False
159,frame_0292.jpg,116.8,0.4685,0.377,0.4,0.8,7,4,False,False
160,frame_0082.jpg,32.8,0.4676,0.4832,0.3,0.68,7,3,False,False
161,frame_0172.jpg,68.8,0.4671,0.5341,0.4,0.4,7,4,False,False
162,frame_0219.jpg,87.6,0.4659,0.5638,0.4,0.32,6,4,False,False
163,frame_0203.jpg,81.2,0.4655,0.555,0.2,0.64,6,2,False,False
164,frame_0208.jpg,83.2,0.4624,0.4408,0.3,0.76,6,3,False,False
165,frame_0018.jpg,7.2,0.4613,0.4627,0.1,1.0,6,1,False,False
166,frame_0303.jpg,121.2,0.4602,0.5965,0.3,0.36,7,3,False,False
167,frame_0202.jpg,80.8,0.4579,0.5559,0.2,0.6,5,2,False,False
168,frame_0184.jpg,73.6,0.4577,0.6435,0.4,0.08,8,4,False,False
169,frame_0373.jpg,149.2,0.4547,0.6654,0.3,0.16,9,3,False,False
170,frame_0010.jpg,4.0,0.4544,0.4488,0.1,1.0,3,1,False,False
171,frame_0108.jpg,43.2,0.4507,0.6454,0.4,0.04,11,4,False,False
172,frame_0299.jpg,119.6,0.4507,0.5135,0.3,0.52,8,3,False,False
173,frame_0324.jpg,129.6,0.4504,0.6288,0.4,0.08,10,4,False,False
174,frame_0296.jpg,118.4,0.4499,0.4639,0.3,0.64,6,3,False,False
175,frame_0174.jpg,69.6,0.4486,0.6492,0.2,0.32,6,2,False,False
176,frame_0371.jpg,148.4,0.4469,0.6218,0.4,0.08,8,4,False,False
177,frame_0214.jpg,85.6,0.4457,0.5635,0.2,0.52,5,2,False,False
178,frame_0300.jpg,120.0,0.4457,0.5794,0.2,0.48,8,2,False,False
179,frame_0086.jpg,34.4,0.4455,0.443,0.4,0.52,6,4,False,False
180,frame_0085.jpg,34.0,0.4438,0.4837,0.3,0.56,6,3,False,False
181,frame_0223.jpg,89.2,0.4414,0.5787,0.4,0.16,6,4,False,False
182,frame_0193.jpg,77.2,0.4378,0.5996,0.3,0.24,7,3,False,False
183,frame_0323.jpg,129.2,0.4354,0.5827,0.4,0.12,9,4,False,False
184,frame_0209.jpg,83.6,0.4346,0.4613,0.2,0.72,5,2,False,False
185,frame_0217.jpg,86.8,0.4346,0.5291,0.3,0.4,5,3,False,False
186,frame_0302.jpg,120.8,0.4295,0.519,0.3,0.4,7,3,False,False
187,frame_0232.jpg,92.8,0.4285,0.597,0.3,0.2,8,3,False,False
188,frame_0311.jpg,124.4,0.4264,0.5369,0.5,0.04,7,5,False,False
189,frame_0109.jpg,43.6,0.4242,0.5764,0.4,0.08,11,4,False,False
190,frame_0112.jpg,44.8,0.4181,0.6361,0.2,0.2,8,2,False,False
191,frame_0295.jpg,118.0,0.4175,0.5031,0.1,0.68,7,1,False,False
192,frame_0233.jpg,93.2,0.4163,0.5566,0.3,0.24,9,3,False,False
193,frame_0102.jpg,40.8,0.4159,0.5438,0.4,0.12,8,4,False,False
194,frame_0221.jpg,88.4,0.4154,0.4949,0.4,0.24,6,4,False,False
195,frame_0222.jpg,88.8,0.4131,0.6262,0.2,0.2,6,2,False,False
196,frame_0370.jpg,148.0,0.411,0.506,0.5,0.04,10,5,False,False
197,frame_0228.jpg,91.2,0.4096,0.5632,0.4,0.04,8,4,False,False
198,frame_0305.jpg,122.0,0.408,0.5241,0.3,0.28,6,3,False,False
199,frame_0309.jpg,123.6,0.4048,0.5816,0.3,0.12,7,3,False,False
200,frame_0310.jpg,124.0,0.4029,0.5937,0.3,0.08,5,3,False,False
201,frame_0289.jpg,115.6,0.4019,0.4997,0.0,0.76,8,0,False,False
202,frame_0279.jpg,111.6,0.4006,0.5371,0.2,0.36,6,2,False,False
203,frame_0097.jpg,38.8,0.4004,0.4688,0.5,0.08,10,5,False,False
204,frame_0267.jpg,106.8,0.4004,0.5728,0.3,0.12,6,3,False,False
205,frame_0019.jpg,7.6,0.4001,0.4002,0.0,1.0,4,0,False,False
206,frame_0204.jpg,81.6,0.3999,0.4677,0.1,0.68,5,1,False,False
207,frame_0201.jpg,80.4,0.3997,0.4554,0.2,0.56,5,2,False,False
208,frame_0330.jpg,132.0,0.3987,0.5413,0.4,0.04,10,4,False,False
209,frame_0225.jpg,90.0,0.3975,0.583,0.3,0.08,8,3,False,False
210,frame_0094.jpg,37.6,0.3972,0.5343,0.3,0.2,10,3,False,False
211,frame_0009.jpg,3.6,0.3944,0.3288,0.1,1.0,3,1,False,False
212,frame_0106.jpg,42.4,0.3931,0.6503,0.2,0.04,7,2,False,False
213,frame_0386.jpg,154.4,0.3931,0.5102,0.3,0.24,8,3,False,False
214,frame_0381.jpg,152.4,0.3926,0.5292,0.4,0.04,11,4,False,False
215,frame_0087.jpg,34.8,0.3901,0.4681,0.2,0.48,7,2,False,False
216,frame_0322.jpg,128.8,0.3887,0.5934,0.2,0.16,8,2,False,False
217,frame_0268.jpg,107.2,0.3875,0.623,0.2,0.08,7,2,False,False
218,frame_0188.jpg,75.2,0.3863,0.5767,0.3,0.04,10,3,False,False
219,frame_0269.jpg,107.6,0.3836,0.5712,0.3,0.04,8,3,False,False
220,frame_0200.jpg,80.0,0.3816,0.4352,0.2,0.52,3,2,False,False
221,frame_0294.jpg,117.6,0.3816,0.3552,0.2,0.72,6,2,False,False
222,frame_0098.jpg,39.2,0.3814,0.5068,0.4,0.04,5,4,False,False
223,frame_0192.jpg,76.8,0.3804,0.5007,0.3,0.2,8,3,False,False
224,frame_0212.jpg,84.8,0.3757,0.4514,0.1,0.6,6,1,False,False
225,frame_0189.jpg,75.6,0.3733,0.5946,0.2,0.08,5,2,False,False
226,frame_0281.jpg,112.4,0.3729,0.3898,0.3,0.44,6,3,False,False
227,frame_0319.jpg,127.6,0.3718,0.4516,0.3,0.28,10,3,False,False
228,frame_0384.jpg,153.6,0.3645,0.5449,0.2,0.16,10,2,False,False
229,frame_0091.jpg,36.4,0.3632,0.4784,0.2,0.32,7,2,False,False
230,frame_0093.jpg,37.2,0.3632,0.5105,0.2,0.24,7,2,False,False
231,frame_0199.jpg,79.6,0.36,0.4681,0.1,0.48,3,1,False,False
232,frame_0385.jpg,154.0,0.3578,0.4555,0.3,0.2,8,3,False,False
233,frame_0181.jpg,72.4,0.3526,0.5692,0.2,0.04,6,2,False,False
234,frame_0115.jpg,46.0,0.3382,0.5483,0.0,0.32,6,0,False,False
235,frame_0083.jpg,33.2,0.3362,0.2963,0.2,0.64,6,2,False,False
236,frame_0205.jpg,82.0,0.3317,0.2553,0.2,0.72,6,2,False,False
237,frame_0195.jpg,78.0,0.3286,0.3492,0.3,0.32,6,3,False,False
238,frame_0206.jpg,82.4,0.3281,0.3521,0.0,0.76,6,0,False,False
239,frame_0220.jpg,88.0,0.3248,0.4776,0.1,0.28,6,1,False,False
240,frame_0211.jpg,84.4,0.3239,0.3318,0.1,0.64,5,1,False,False
241,frame_0110.jpg,44.0,0.3159,0.4037,0.3,0.12,10,3,False,False
242,frame_0101.jpg,40.4,0.3152,0.4184,0.3,0.08,6,3,False,False
243,frame_0111.jpg,44.4,0.3106,0.4373,0.2,0.16,6,2,False,False
244,frame_0198.jpg,79.2,0.3094,0.3827,0.1,0.44,4,1,False,False
245,frame_0271.jpg,108.4,0.3046,0.4732,0.2,0.04,5,2,False,False
246,frame_0272.jpg,108.8,0.3006,0.5093,0.1,0.08,6,1,False,False
247,frame_0382.jpg,152.8,0.2888,0.4256,0.2,0.08,10,2,False,False
248,frame_0213.jpg,85.2,0.2885,0.293,0.1,0.56,5,1,False,False
249,frame_0226.jpg,90.4,0.2647,0.4534,0.1,0.04,8,1,False,False
250,frame_0196.jpg,78.4,0.2555,0.307,0.1,0.36,2,1,False,False
251,frame_0191.jpg,76.4,0.2519,0.3797,0.1,0.16,7,1,False,False
252,frame_0224.jpg,89.6,0.2508,0.3935,0.1,0.12,6,1,False,False
253,frame_0190.jpg,76.0,0.2505,0.333,0.2,0.12,5,2,False,False
254,frame_0383.jpg,153.2,0.2485,0.389,0.1,0.12,10,1,False,False
255,frame_0183.jpg,73.2,0.2311,0.4462,0.0,0.04,6,0,False,False
256,frame_0313.jpg,125.2,0.2205,0.4249,0.0,0.04,5,0,False,False
